"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18115","test","webkit","Thu Jul 17 16:45:02 IST 2025","passed","Thu Jul 17 16:45:21 IST 2025","","login.spec.js","",""
"","3645","has title","firefox","Thu Jul 17 16:44:49 IST 2025","passed","Thu Jul 17 16:44:53 IST 2025","","example.spec.js","",""
"","21995","test","firefox","Thu Jul 17 16:44:58 IST 2025","passed","Thu Jul 17 16:45:20 IST 2025","","logout.spec.js","",""
"","3929","has title","webkit","Thu Jul 17 16:44:58 IST 2025","passed","Thu Jul 17 16:45:02 IST 2025","","example.spec.js","",""
"","12489","test","chromium","Thu Jul 17 16:44:41 IST 2025","passed","Thu Jul 17 16:44:54 IST 2025","","logout.spec.js","",""
"","5508","get started link","firefox","Thu Jul 17 16:44:49 IST 2025","passed","Thu Jul 17 16:44:55 IST 2025","","example.spec.js","",""
"","12505","test","chromium","Thu Jul 17 16:44:41 IST 2025","passed","Thu Jul 17 16:44:54 IST 2025","","login.spec.js","",""
"","6075","get started link","chromium","Thu Jul 17 16:44:41 IST 2025","passed","Thu Jul 17 16:44:47 IST 2025","","example.spec.js","",""
"","5799","has title","chromium","Thu Jul 17 16:44:41 IST 2025","passed","Thu Jul 17 16:44:47 IST 2025","","example.spec.js","",""
"","15201","test","firefox","Thu Jul 17 16:44:54 IST 2025","passed","Thu Jul 17 16:45:09 IST 2025","","login.spec.js","",""
"","16575","test","webkit","Thu Jul 17 16:45:13 IST 2025","passed","Thu Jul 17 16:45:29 IST 2025","","logout.spec.js","",""
"","3993","get started link","webkit","Thu Jul 17 16:45:03 IST 2025","passed","Thu Jul 17 16:45:07 IST 2025","","example.spec.js","",""
