"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15689","test","firefox","Mon Jul 28 10:14:33 IST 2025","passed","Mon Jul 28 10:14:49 IST 2025","","test..spec.js","",""
"","21069","test","webkit","Mon Jul 28 10:12:38 IST 2025","passed","Mon Jul 28 10:12:59 IST 2025","","logout.spec.js","",""
"","30178","Resume upload test","webkit","Mon Jul 28 10:13:22 IST 2025","broken","Mon Jul 28 10:13:52 IST 2025","","uploadresume.spec.js","",""
"","30126","test","webkit","Tue Jul 22 18:16:42 IST 2025","broken","Tue Jul 22 18:17:13 IST 2025","","Deleteprofilepicture.spec.js","",""
"","20738","test","chrome","Mon Jul 28 10:11:25 IST 2025","passed","Mon Jul 28 10:11:46 IST 2025","","Profileflow.spec.js","",""
"","27544","test","webkit","Mon Jul 28 10:12:49 IST 2025","passed","Mon Jul 28 10:13:16 IST 2025","","Profileflow.spec.js","",""
"","10643","test","chromium","Fri Jul 25 09:44:47 IST 2025","passed","Fri Jul 25 09:44:58 IST 2025","","login.spec.js","",""
"","30026","test","chromium","Fri Jul 25 10:02:51 IST 2025","broken","Fri Jul 25 10:03:21 IST 2025","","Meetinglink.spec.js","",""
"","3291","basic test","chrome-lambdatest","Mon Jul 28 10:46:18 IST 2025","passed","Mon Jul 28 10:46:22 IST 2025","","basic.spec.js","",""
"","25035","Login and apply to a job","webkit","Mon Jul 28 10:12:07 IST 2025","failed","Mon Jul 28 10:12:32 IST 2025","","Applyjob.spec.ts","",""
"","30272","Login and apply to a job","chrome","Mon Jul 28 10:10:50 IST 2025","broken","Mon Jul 28 10:11:20 IST 2025","","Applyjob.spec.ts","",""
"","30039","test","chromium","Wed Jul 23 18:38:25 IST 2025","broken","Wed Jul 23 18:38:55 IST 2025","","Viewprofile.spec.js","",""
"","30030","test","chromium","Thu Jul 24 15:51:30 IST 2025","broken","Thu Jul 24 15:52:00 IST 2025","","searchjobapply..spec.js","",""
"","30280","Resume upload test","chrome-lambdatest","Mon Jul 28 10:48:52 IST 2025","broken","Mon Jul 28 10:49:22 IST 2025","","uploadresume.spec.js","",""
"","2","delete profile picture no waits","firefox-lambdatest","Mon Jul 28 10:31:53 IST 2025","failed","Mon Jul 28 10:31:53 IST 2025","","Deleteprofilepicture.spec.js","",""
"","25523","test","chrome","Mon Jul 28 10:11:18 IST 2025","passed","Mon Jul 28 10:11:43 IST 2025","","Meetinglink.spec.js","",""
"","12857","test","firefox","Mon Jul 28 10:13:53 IST 2025","passed","Mon Jul 28 10:14:06 IST 2025","","login.spec.js","",""
"","13687","test","webkit","Mon Jul 28 10:12:35 IST 2025","passed","Mon Jul 28 10:12:48 IST 2025","","login.spec.js","",""
"","2","Login and apply to a job","firefox-lambdatest","Mon Jul 28 10:31:53 IST 2025","failed","Mon Jul 28 10:31:53 IST 2025","","Applyjob.spec.ts","",""
"","2","test","firefox-lambdatest","Mon Jul 28 10:32:08 IST 2025","failed","Mon Jul 28 10:32:08 IST 2025","","Viewprofile.spec.js","",""
"","29567","login and open meeting link","firefox","Mon Jul 28 10:13:48 IST 2025","failed","Mon Jul 28 10:14:18 IST 2025","","Deleteaccount.spec.js","",""
"","2396","basic test","webkit","Mon Jul 28 10:12:19 IST 2025","passed","Mon Jul 28 10:12:21 IST 2025","","basic.spec.js","",""
"","2","Login and upload profile picture","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","Uploadprofilepicture.spec.js","",""
"","24636","test","chrome","Mon Jul 28 10:11:31 IST 2025","passed","Mon Jul 28 10:11:56 IST 2025","","signup..spec.js","",""
"","24511","login and open meeting link","chromium","Thu Jul 24 17:10:07 IST 2025","failed","Thu Jul 24 17:10:31 IST 2025","","Deleteaccount.spec.js","",""
"","13214","delete profile picture no waits","webkit","Mon Jul 28 10:12:29 IST 2025","passed","Mon Jul 28 10:12:42 IST 2025","","Deleteprofilepicture.spec.js","",""
"","30230","test","chrome","Mon Jul 28 10:11:25 IST 2025","broken","Mon Jul 28 10:11:55 IST 2025","","searchjobapply..spec.js","",""
"","4043","basic test","chromium","Tue Jul 22 17:54:23 IST 2025","passed","Tue Jul 22 17:54:27 IST 2025","","basic.spec.js","",""
"","32475","test","firefox","Mon Jul 28 10:14:13 IST 2025","broken","Mon Jul 28 10:14:45 IST 2025","","Meetinglink.spec.js","",""
"","14215","test","chrome","Mon Jul 28 10:11:17 IST 2025","passed","Mon Jul 28 10:11:31 IST 2025","","logout.spec.js","",""
"","26196","Login and upload profile picture","chrome-lambdatest","Mon Jul 28 10:48:46 IST 2025","failed","Mon Jul 28 10:49:12 IST 2025","","Uploadprofilepicture.spec.js","",""
"","30295","login and open meeting link","chrome","Mon Jul 28 10:10:50 IST 2025","broken","Mon Jul 28 10:11:20 IST 2025","","Deleteaccount.spec.js","",""
"","30123","Resume upload test","firefox","Mon Jul 28 10:14:49 IST 2025","broken","Mon Jul 28 10:15:19 IST 2025","","uploadresume.spec.js","",""
"","9840","test","chromium","Fri Jul 25 09:58:39 IST 2025","failed","Fri Jul 25 09:58:49 IST 2025","","logout.spec.js","",""
"","30055","Login and upload profile picture","chrome","Mon Jul 28 10:11:47 IST 2025","broken","Mon Jul 28 10:12:17 IST 2025","","Uploadprofilepicture.spec.js","",""
"","27203","login and open meeting link","webkit","Mon Jul 28 10:12:22 IST 2025","failed","Mon Jul 28 10:12:49 IST 2025","","Deleteaccount.spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","test..spec.js","",""
"","2","Resume upload test","firefox-lambdatest","Mon Jul 28 10:32:08 IST 2025","failed","Mon Jul 28 10:32:08 IST 2025","","uploadresume.spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:06 IST 2025","failed","Mon Jul 28 10:32:06 IST 2025","","searchjobapply..spec.js","",""
"","16135","test","chrome","Mon Jul 28 10:11:01 IST 2025","passed","Mon Jul 28 10:11:17 IST 2025","","login.spec.js","",""
"","20870","test","chrome","Mon Jul 28 10:11:43 IST 2025","passed","Mon Jul 28 10:12:04 IST 2025","","test..spec.js","",""
"","3","test","firefox-lambdatest","Mon Jul 28 10:32:04 IST 2025","failed","Mon Jul 28 10:32:04 IST 2025","","Meetinglink.spec.js","",""
"","30042","Login and upload profile picture","webkit","Mon Jul 28 10:13:16 IST 2025","broken","Mon Jul 28 10:13:46 IST 2025","","Uploadprofilepicture.spec.js","",""
"","19584","test","firefox","Mon Jul 28 10:14:06 IST 2025","passed","Mon Jul 28 10:14:26 IST 2025","","logout.spec.js","",""
"","30037","Delete profile picture","chromium","Thu Jul 24 17:40:27 IST 2025","broken","Thu Jul 24 17:40:57 IST 2025","","Deleteprofilepicture.spec.js","",""
"","22413","test","webkit","Mon Jul 28 10:13:24 IST 2025","passed","Mon Jul 28 10:13:46 IST 2025","","Viewprofile.spec.js","",""
"","30128","test","firefox","Tue Jul 22 18:18:09 IST 2025","broken","Tue Jul 22 18:18:39 IST 2025","","Deleteprofilepicture.spec.js","",""
"","4","login and open meeting link","firefox-lambdatest","Mon Jul 28 10:31:53 IST 2025","failed","Mon Jul 28 10:31:53 IST 2025","","Deleteaccount.spec.js","",""
"","30079","test","firefox","Mon Jul 28 10:14:23 IST 2025","broken","Mon Jul 28 10:14:53 IST 2025","","searchjobapply..spec.js","",""
